id,title,frontText,backAnswer,fact,vocabulary,quizQuestion
animal_reindeer_vi_3_5,Con tuần lộc,"Con gì có sừng phân nhánh, Sống ở vùng lạnh thật vui. Bé nhìn xem và đoán nhé, Tên bạn nhỏ là gì?",Con tuần lộc,Con tuần lộc có sừng phân nhánh và thường được bé nhận ra ở vùng lạnh.,tuần lộc; sừng phân nhánh; vùng lạnh; con vật,Con tuần lộc có đặc điểm gì nổi bật?
animal_polar_bear_vi_3_5,Con gấu bắc cực,"Con gì có lông trắng, Sống ở vùng băng tuyết thật vui. Bé nhìn xem và đoán nhé, Tên bạn nhỏ là gì?",Con gấu bắc cực,Con gấu bắc cực có lông trắng và thường được bé nhận ra ở vùng băng tuyết.,gấu bắc cực; lông trắng; vùng băng tuyết; con vật,Con gấu bắc cực có đặc điểm gì nổi bật?
animal_fox_vi_3_5,Con cáo,"Con gì có đuôi xù, Sống ở rừng cây thật vui. Bé nhìn xem và đoán nhé, Tên bạn nhỏ là gì?",Con cáo,Con cáo có đuôi xù và thường được bé nhận ra ở rừng cây.,cáo; đuôi xù; rừng cây; con vật,Con cáo có đặc điểm gì nổi bật?
animal_raccoon_vi_3_5,Con gấu mèo,"Con gì có đuôi khoang, Sống ở rừng cây thật vui. Bé nhìn xem và đoán nhé, Tên bạn nhỏ là gì?",Con gấu mèo,Con gấu mèo có đuôi khoang và thường được bé nhận ra ở rừng cây.,gấu mèo; đuôi khoang; rừng cây; con vật,Con gấu mèo có đặc điểm gì nổi bật?
animal_ferret_vi_3_5,Con chồn,"Con gì có thân dài, Sống ở bụi cây thật vui. Bé nhìn xem và đoán nhé, Tên bạn nhỏ là gì?",Con chồn,Con chồn có thân dài và thường được bé nhận ra ở bụi cây.,chồn; thân dài; bụi cây; con vật,Con chồn có đặc điểm gì nổi bật?
animal_beaver_vi_3_5,Con hải ly,"Con gì có đuôi bẹt, Sống ở dòng suối thật vui. Bé nhìn xem và đoán nhé, Tên bạn nhỏ là gì?",Con hải ly,Con hải ly có đuôi bẹt và thường được bé nhận ra ở dòng suối.,hải ly; đuôi bẹt; dòng suối; con vật,Con hải ly có đặc điểm gì nổi bật?
animal_antelope_vi_3_5,Con linh dương,"Con gì có chân dài, Sống ở đồng cỏ thật vui. Bé nhìn xem và đoán nhé, Tên bạn nhỏ là gì?",Con linh dương,Con linh dương có chân dài và thường được bé nhận ra ở đồng cỏ.,linh dương; chân dài; đồng cỏ; con vật,Con linh dương có đặc điểm gì nổi bật?
animal_lynx_vi_3_5,Con linh miêu,"Con gì có tai nhọn, Sống ở rừng lạnh thật vui. Bé nhìn xem và đoán nhé, Tên bạn nhỏ là gì?",Con linh miêu,Con linh miêu có tai nhọn và thường được bé nhận ra ở rừng lạnh.,linh miêu; tai nhọn; rừng lạnh; con vật,Con linh miêu có đặc điểm gì nổi bật?
animal_ostrich_vi_3_5,Con đà điểu,"Con gì có chân dài, Sống ở đồng cỏ thật vui. Bé nhìn xem và đoán nhé, Tên bạn nhỏ là gì?",Con đà điểu,Con đà điểu có chân dài và thường được bé nhận ra ở đồng cỏ.,đà điểu; chân dài; đồng cỏ; con vật,Con đà điểu có đặc điểm gì nổi bật?
animal_kiwi_vi_3_5,Con chim kiwi,"Con gì có mỏ dài, Sống ở bụi cây thật vui. Bé nhìn xem và đoán nhé, Tên bạn nhỏ là gì?",Con chim kiwi,Con chim kiwi có mỏ dài và thường được bé nhận ra ở bụi cây.,chim kiwi; mỏ dài; bụi cây; con vật,Con chim kiwi có đặc điểm gì nổi bật?
animal_emperor_penguin_vi_3_5,Con chim cánh cụt hoàng đế,"Con gì có dáng cao, Sống ở vùng băng thật vui. Bé nhìn xem và đoán nhé, Tên bạn nhỏ là gì?",Con chim cánh cụt hoàng đế,Con chim cánh cụt hoàng đế có dáng cao và thường được bé nhận ra ở vùng băng.,chim cánh cụt hoàng đế; dáng cao; vùng băng; con vật,Con chim cánh cụt hoàng đế có đặc điểm gì nổi bật?
animal_snake_vi_3_5,Con rắn,"Con gì có thân dài, Sống ở bụi cỏ thật vui. Bé nhìn xem và đoán nhé, Tên bạn nhỏ là gì?",Con rắn,Con rắn có thân dài và thường được bé nhận ra ở bụi cỏ.,rắn; thân dài; bụi cỏ; con vật,Con rắn có đặc điểm gì nổi bật?
animal_lizard_vi_3_5,Con thằn lằn,"Con gì có đuôi dài, Sống ở bờ tường thật vui. Bé nhìn xem và đoán nhé, Tên bạn nhỏ là gì?",Con thằn lằn,Con thằn lằn có đuôi dài và thường được bé nhận ra ở bờ tường.,thằn lằn; đuôi dài; bờ tường; con vật,Con thằn lằn có đặc điểm gì nổi bật?
animal_gecko_vi_3_5,Con tắc kè,"Con gì có bám tường, Sống ở góc nhà thật vui. Bé nhìn xem và đoán nhé, Tên bạn nhỏ là gì?",Con tắc kè,Con tắc kè có bám tường và thường được bé nhận ra ở góc nhà.,tắc kè; bám tường; góc nhà; con vật,Con tắc kè có đặc điểm gì nổi bật?
animal_iguana_vi_3_5,Con kỳ nhông,"Con gì có mào nhỏ, Sống ở cành cây thật vui. Bé nhìn xem và đoán nhé, Tên bạn nhỏ là gì?",Con kỳ nhông,Con kỳ nhông có mào nhỏ và thường được bé nhận ra ở cành cây.,kỳ nhông; mào nhỏ; cành cây; con vật,Con kỳ nhông có đặc điểm gì nổi bật?
animal_monitor_lizard_vi_3_5,Con kỳ đà,"Con gì có đuôi khỏe, Sống ở ven rừng thật vui. Bé nhìn xem và đoán nhé, Tên bạn nhỏ là gì?",Con kỳ đà,Con kỳ đà có đuôi khỏe và thường được bé nhận ra ở ven rừng.,kỳ đà; đuôi khỏe; ven rừng; con vật,Con kỳ đà có đặc điểm gì nổi bật?
animal_manta_ray_vi_3_5,Con cá đuối,"Con gì có vây rộng, Sống ở biển thật vui. Bé nhìn xem và đoán nhé, Tên bạn nhỏ là gì?",Con cá đuối,Con cá đuối có vây rộng và thường được bé nhận ra ở biển.,cá đuối; vây rộng; biển; con vật,Con cá đuối có đặc điểm gì nổi bật?
